"STATE.UT","DISTRICT","Year","Rape","Kidnapping.and.Abduction","Dowry.Deaths","Assault.on.women.with.intent.to.outrage.her.modesty","Insult.to.modesty.of.Women","Cruelty.by.Husband.or.his.Relatives","Importation.of.Girls","TOTAL_WOMEN_CRIMES"
"ANDHRA PRADESH","VISAKHA RURAL",2011,38,30,8,120,128,203,0,399
"ANDHRA PRADESH","VISAKHAPATNAM",2011,57,48,12,31,50,386,0,534
"ANDHRA PRADESH","VIZIANAGARAM",2011,50,20,5,79,99,384,0,538
"ANDHRA PRADESH","WARANGAL",2011,48,62,26,157,27,89,0,382
"ANDHRA PRADESH","WARANGAL URBAN",2011,35,15,26,78,54,63,0,217
"ANDHRA PRADESH","WEST GODAVARI",2011,97,90,27,364,238,760,0,1338
"ANDHRA PRADESH","TOTAL",2011,1442,1612,599,4849,3658,13376,0,21878
"ANDHRA PRADESH","ADILABAD",2012,88,61,7,90,155,498,0,744
"ANDHRA PRADESH","ANANTAPUR",2012,18,63,19,195,8,130,0,425
"ANDHRA PRADESH","CHITTOOR",2012,28,49,33,90,269,339,0,539
"ANDHRA PRADESH","CUDDAPAH",2012,26,44,13,217,37,120,0,420
"ANDHRA PRADESH","CYBERABAD",2012,75,102,45,183,282,976,0,1381
"ANDHRA PRADESH","EAST GODAVARI",2012,71,40,17,248,160,536,0,912
"ANDHRA PRADESH","GUNTAKAL RLY.",2012,1,0,1,1,1,2,0,5
"ANDHRA PRADESH","GUNTUR",2012,23,53,21,252,83,656,0,1005
"ANDHRA PRADESH","GUNTUR URBAN",2012,24,32,9,84,83,687,0,836
"ANDHRA PRADESH","HYDERABAD CITY",2012,74,31,23,145,141,1339,0,1612
"ANDHRA PRADESH","KARIMNAGAR",2012,40,98,46,224,232,759,0,1167
"ANDHRA PRADESH","KHAMMAM",2012,78,62,13,233,172,231,0,617
"ANDHRA PRADESH","KRISHNA",2012,67,55,16,341,309,791,0,1270
"ANDHRA PRADESH","KURNOOL",2012,22,46,15,331,75,166,0,580
"ANDHRA PRADESH","MAHABOOBNAGAR",2012,56,70,27,154,45,204,0,511
"ANDHRA PRADESH","MEDAK",2012,26,45,20,112,55,475,0,678
"ANDHRA PRADESH","NALGONDA",2012,52,79,20,246,264,302,0,699
"ANDHRA PRADESH","NELLORE",2012,23,72,9,210,142,405,0,719
"ANDHRA PRADESH","NIZAMABAD",2012,35,23,19,100,102,596,0,773
"ANDHRA PRADESH","PRAKASHAM",2012,37,69,16,213,47,263,0,598
"ANDHRA PRADESH","RAJAHMUNDRY",2012,13,5,3,49,35,183,0,253
"ANDHRA PRADESH","RANGA REDDY",2012,27,21,16,58,31,152,0,274
"ANDHRA PRADESH","SECUNDERABAD RLY.",2012,2,0,0,5,5,0,0,7
"ANDHRA PRADESH","SRIKAKULAM",2012,39,18,3,116,69,312,0,488
"ANDHRA PRADESH","TIRUPATHI URBAN",2012,12,14,6,21,11,96,0,149
"ANDHRA PRADESH","VIJAYAWADA CITY",2012,47,39,16,223,418,1136,0,1461
"ANDHRA PRADESH","VIJAYAWADA RLY.",2012,0,3,0,5,6,1,0,9
"ANDHRA PRADESH","VISAKHA RURAL",2012,27,13,9,67,20,134,0,250
"ANDHRA PRADESH","VISAKHAPATNAM",2012,50,20,11,23,11,412,0,516
"ANDHRA PRADESH","VIZIANAGARAM",2012,44,20,3,96,103,363,0,526
"ANDHRA PRADESH","WARANGAL",2012,56,58,20,117,34,101,0,352
"ANDHRA PRADESH","WARANGAL URBAN",2012,30,39,9,71,74,267,0,416
"ANDHRA PRADESH","WEST GODAVARI",2012,130,59,19,296,235,757,0,1261
"ANDHRA PRADESH","TOTAL",2012,1341,1403,504,4816,3714,13389,0,21453
